process_step,failure_mode,effect,likely_cause,current_control,recommended_action,follow_up_role
ST50,No fillet or chamfer operations found — internal corners may cause stress concentration,"Launch disruption, defect escape, or traceability loss",DFM-04,first_article_and_launch_control,[Owner: Launch production engineering] Add fillet (R >= 0.5mm) or chamfer to internal corners,Launch production engineering
ST50,"Drill ratio 9.3:1 for 'mount1' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Launch production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Launch production engineering
ST50,"Drill ratio 9.3:1 for 'mount2' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Launch production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Launch production engineering
ST50,"Drill ratio 9.3:1 for 'mount3' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Launch production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Launch production engineering
ST50,"Drill ratio 9.3:1 for 'mount4' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Launch production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Launch production engineering
ST90,Connector keep-out assumption is tight for line-side assembly and inspection,"Launch disruption, defect escape, or traceability loss",product_metadata,first_article_and_launch_control,[Owner: Launch production engineering] Reserve additional probe and hand-tool clearance or define dedicated access tooling.,Launch production engineering
ST50,Cross-site launch requires stronger process standardization and document control,"Launch disruption, defect escape, or traceability loss",production_scope,first_article_and_launch_control,"[Owner: Launch production engineering] Package PFMEA, control plan, work instruction, and gauge concept in one rollout set.",Launch production engineering
ST90,Connector misalignment risk can create mate-force escapes and EOL instability,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Launch production engineering] Use seating confirmation, side-access checks, and fixture support for the connector join.",Launch production engineering
ST130,Under-torque / over-torque risk requires traceable fastening control,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,[Owner: Launch production engineering] Capture digital torque evidence and calibrate tools before pilot-line release.,Launch production engineering
ST110,Gasket miss or sealing path damage can escape without explicit confirmation,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,[Owner: Launch production engineering] Add gasket presence and sealing-surface verification before the unit is closed.,Launch production engineering
ST50,Fixture loading sensitivity can extend CT and create false EOL failures,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Maintenance + test technician] Review nest support, probe access, and load/unload ergonomics with launch samples.",Maintenance + test technician
ST50,EOL access / probing constraint can delay release and complicate containment,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Launch production engineering] Confirm probing access, communication retry logic, and retest flow before SOP.",Launch production engineering
ST50,"Traceability mismatch risk exists when housing, PCB, and label records are not paired at build time","Launch disruption, defect escape, or traceability loss",traceability,first_article_and_launch_control,[Owner: Production engineering + IT/MES] Capture barcode pairing before the unit leaves the controlled fixture and block mismatches.,Production engineering + IT/MES
ST90,PCB stack-up alignment concern should be reviewed against housing and connector datums,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Launch production engineering] Validate PCB insertion path, boss height stack-up, and connector datum control together.",Launch production engineering
