process_step,failure_mode,effect,likely_cause,current_control,recommended_action,follow_up_role
ST50,No fillet or chamfer operations found — internal corners may cause stress concentration,"Launch disruption, defect escape, or traceability loss",DFM-04,first_article_and_launch_control,[Owner: Production engineering] Add fillet (R >= 0.5mm) or chamfer to internal corners,Production engineering
ST50,"Drill ratio 9.3:1 for 'mount1' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Production engineering
ST50,"Drill ratio 9.3:1 for 'mount2' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Production engineering
ST50,"Drill ratio 9.3:1 for 'mount3' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Production engineering
ST50,"Drill ratio 9.3:1 for 'mount4' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,[Owner: Production engineering] Reduce depth or increase diameter to achieve <= 3:1 ratio,Production engineering
ST90,Connector keep-out assumption is tight for line-side assembly and inspection,"Launch disruption, defect escape, or traceability loss",product_metadata,first_article_and_launch_control,[Owner: Production engineering] Reserve additional probe and hand-tool clearance or define dedicated access tooling.,Production engineering
ST50,Cross-site launch requires stronger process standardization and document control,"Launch disruption, defect escape, or traceability loss",production_scope,first_article_and_launch_control,"[Owner: Production engineering] Package PFMEA, control plan, work instruction, and gauge concept in one rollout set.",Production engineering
ST90,Connector misalignment risk can create mate-force escapes and EOL instability,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Production engineering] Use seating confirmation, side-access checks, and fixture support for the connector join.",Production engineering
ST130,Under-torque / over-torque risk requires traceable fastening control,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,[Owner: Production engineering] Capture digital torque evidence and calibrate tools before pilot-line release.,Production engineering
ST110,Gasket miss or sealing path damage can escape without explicit confirmation,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,[Owner: Production engineering] Add gasket presence and sealing-surface verification before the unit is closed.,Production engineering
ST50,Fixture loading sensitivity can extend CT and create false EOL failures,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Maintenance engineering] Review nest support, probe access, and load/unload ergonomics with launch samples.",Maintenance engineering
ST50,EOL access / probing constraint can delay release and complicate containment,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Production engineering] Confirm probing access, communication retry logic, and retest flow before SOP.",Production engineering
ST50,"Traceability mismatch risk exists when housing, PCB, and label records are not paired at build time","Launch disruption, defect escape, or traceability loss",traceability,first_article_and_launch_control,[Owner: Production engineering + MES] Capture barcode pairing before the unit leaves the controlled fixture and block mismatches.,Production engineering + MES
ST90,PCB stack-up alignment concern should be reviewed against housing and connector datums,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"[Owner: Production engineering] Validate PCB insertion path, boss height stack-up, and connector datum control together.",Production engineering
ST50,critical machining launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering
ST50,inspection  /  leak surrogate launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering
ST50,assembly preparation launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering
ST50,fixture load  /  unload consideration launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Maintenance engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Maintenance engineering
ST90,connector seating confirmation launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering
ST90,connector fit confirmation station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering
ST130,torque-controlled fastening launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering
ST130,torque verification station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering
ST150,barcode  /  serial pairing launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering + MES] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering + MES
ST150,barcode pairing station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering + MES] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering + MES
