process_step,failure_mode,effect,likely_cause,current_control,recommended_action
ST50,No fillet or chamfer operations found — internal corners may cause stress concentration,"Launch disruption, defect escape, or traceability loss",DFM-04,first_article_and_launch_control,Add fillet (R >= 0.5mm) or chamfer to internal corners
ST50,"Drill ratio 9.3:1 for 'mount1' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,Reduce depth or increase diameter to achieve <= 3:1 ratio
ST50,"Drill ratio 9.3:1 for 'mount2' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,Reduce depth or increase diameter to achieve <= 3:1 ratio
ST50,"Drill ratio 9.3:1 for 'mount3' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,Reduce depth or increase diameter to achieve <= 3:1 ratio
ST50,"Drill ratio 9.3:1 for 'mount4' exceeds max 3:1 (depth=56.0mm, dia=6.0mm)","Launch disruption, defect escape, or traceability loss",DFM-05,first_article_and_launch_control,Reduce depth or increase diameter to achieve <= 3:1 ratio
ST90,Connector keep-out assumption is tight for line-side assembly and inspection,"Launch disruption, defect escape, or traceability loss",product_metadata,first_article_and_launch_control,Reserve additional probe and hand-tool clearance or define dedicated access tooling.
ST50,Cross-site launch requires stronger process standardization and document control,"Launch disruption, defect escape, or traceability loss",production_scope,first_article_and_launch_control,"Package PFMEA, control plan, work instruction, and gauge concept in one rollout set."
ST90,Connector misalignment risk can create mate-force escapes and EOL instability,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"Use seating confirmation, side-access checks, and fixture support for the connector join."
ST130,Under-torque / over-torque risk requires traceable fastening control,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,Capture digital torque evidence and calibrate tools before pilot-line release.
ST110,Gasket miss or sealing path damage can escape without explicit confirmation,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,Add gasket presence and sealing-surface verification before the unit is closed.
ST50,Fixture loading sensitivity can extend CT and create false EOL failures,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"Review nest support, probe access, and load/unload ergonomics with launch samples."
ST50,EOL access / probing constraint can delay release and complicate containment,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"Confirm probing access, communication retry logic, and retest flow before SOP."
ST50,"Traceability mismatch risk exists when housing, PCB, and label records are not paired at build time","Launch disruption, defect escape, or traceability loss",traceability,first_article_and_launch_control,Capture barcode pairing before the unit leaves the controlled fixture and block mismatches.
ST90,PCB stack-up alignment concern should be reviewed against housing and connector datums,"Launch disruption, defect escape, or traceability loss",electronics_assembly,first_article_and_launch_control,"Validate PCB insertion path, boss height stack-up, and connector datum control together."
ST50,critical machining launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST50,inspection  /  leak surrogate launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST50,assembly preparation launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST50,fixture load  /  unload consideration launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST90,connector seating confirmation launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST90,connector fit confirmation station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST130,torque-controlled fastening launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST130,torque verification station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST150,barcode  /  serial pairing launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
ST150,barcode pairing station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time."
